Trx Date,Trx Number,Party Name,Ship City,Ship State,Ship Postal Code,Shipping Method,Segment1,Cases SUM,24 PBE Cases
1/2/2017,11908924,CUSTOMER 1,TLAJOMULCO DE ZUNIGA,JA,45679,Paid,FNG00014,2016,2016
1/2/2017,11908925,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54730,Paid,FNG00014,1512,1512
1/2/2017,11908925,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54730,Paid,FNG00015,504,504
1/2/2017,11908926,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54713,Paid,FNG00015,336,336
1/2/2017,11908927,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54713,Paid,FNG00014,1344,1344
1/2/2017,11908927,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54713,Paid,FNG00015,336,336
1/2/2017,11908928,CUSTOMER 1,TLAJOMULCO DE ZUNIGA,JA,45679,Paid,FNG00014,336,336
1/2/2017,11908928,CUSTOMER 1,TLAJOMULCO DE ZUNIGA,JA,45679,Paid,FNG00015,756,756
1/2/2017,11908929,CUSTOMER 1,TLAJOMULCO DE ZUNIGA,JA,45670,Paid,FNG00015,924,924
1/2/2017,11908930,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54730,Paid,FNG00014,252,252
1/2/2017,11908931,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54730,Paid,FNG00014,1428,1428
1/2/2017,11908931,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54730,Paid,FNG00015,336,336
1/2/2017,11908932,CUSTOMER 1,CHALCO,MX,56640,Paid,FNG00014,2016,2016
1/2/2017,11908933,CUSTOMER 1,CHALCO,MX,56640,Paid,FNG00014,1344,1344
1/2/2017,11908933,CUSTOMER 1,CHALCO,MX,56640,Paid,FNG00015,504,504
1/2/2017,11908934,CUSTOMER 1,CHALCO,MX,56640,Paid,FNG00015,168,168
1/2/2017,11908935,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,864,1440
1/2/2017,11908936,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,864,1440
1/2/2017,11908938,CUSTOMER 1,TLAJOMULCO DE ZUNIGA,JA,45679,Paid,FNG00033,864,1440
1/2/2017,11908939,CUSTOMER 1,TLAJOMULCO DE ZUNIGA,JA,45679,Paid,FNG00033,864,1440
1/2/2017,11908940,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,864,1440
1/2/2017,11908941,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,1152,1920
1/2/2017,11908942,CUSTOMER 1,VILLAHERMOSA,TB,86130,Paid,FNG00014,1596,1596
1/2/2017,11908942,CUSTOMER 1,VILLAHERMOSA,TB,86130,Paid,FNG00015,420,420
1/2/2017,11908943,CUSTOMER 1,VILLAHERMOSA,TB,86130,Paid,FNG00033,864,1440
1/2/2017,11908947,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,864,1440
1/2/2017,11908948,CUSTOMER 1,TLAJOMULCO DE ZUNIGA,JA,45679,Paid,FNG00033,864,1440
1/2/2017,11908949,CUSTOMER 1,TLAJOMULCO DE ZUNIGA,JA,45679,Paid,FNG00033,864,1440
1/2/2017,11908955,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,864,1440
1/3/2017,11908968,CUSTOMER 1,TLAJOMULCO DE ZUNIGA,JA,45679,Paid,FNG00033,1152,1920
1/3/2017,11908969,CUSTOMER 1,TLAJOMULCO DE ZUNIGA,JA,45679,Paid,FNG00033,1152,1920
1/3/2017,11908970,CUSTOMER 1,TLAJOMULCO DE ZUNIGA,JA,45679,Paid,FNG00033,1152,1920
1/3/2017,11908971,CUSTOMER 1,VILLAHERMOSA,TB,86130,Paid,FNG00033,1152,1920
1/3/2017,11908972,CUSTOMER 1,VILLAHERMOSA,TB,86130,Paid,FNG00033,1152,1920
1/3/2017,11908973,CUSTOMER 1,TLAJOMULCO DE ZUNIGA,JA,45679,Paid,FNG00033,1152,1920
1/3/2017,11908974,CUSTOMER 1,TLAJOMULCO DE ZUNIGA,JA,45679,Paid,FNG00033,1152,1920
1/3/2017,11908975,CUSTOMER 1,TLAJOMULCO DE ZUNIGA,JA,45679,Paid,FNG00033,1152,1920
1/3/2017,11908977,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00014,1512,1512
1/3/2017,11908977,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00015,420,420
1/3/2017,11908978,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00015,84,84
1/3/2017,11908980,CUSTOMER 1,VILLAHERMOSA,TB,86130,Paid,FNG00033,1152,1920
1/3/2017,11908982,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,1152,1920
1/3/2017,11908991,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54769,Paid,FNG00033,1152,1920
1/3/2017,11908992,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00033,1152,1920
1/3/2017,11908993,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54769,Paid,FNG00033,1152,1920
1/3/2017,11908994,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00033,1152,1920
1/3/2017,11908995,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00033,1152,1920
1/3/2017,11908996,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00033,1152,1920
1/4/2017,11908997,CUSTOMER 1,CHALCO,MX,56640,Paid,FNG00033,1152,1920
1/4/2017,11908998,CUSTOMER 2,ESCOBEDO,NL,66066,DELIVERY,FNG00018,2016,2016
1/4/2017,11908999,CUSTOMER 2,ESCOBEDO,NL,66066,DELIVERY,FNG00018,2016,2016
1/4/2017,11909000,CUSTOMER 2,ESCOBEDO,NL,66066,DELIVERY,FNG00018,2016,2016
1/4/2017,11909001,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00015,504,504
1/4/2017,11909002,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00014,756,756
1/4/2017,11909002,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00015,756,756
1/4/2017,11909003,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00014,2016,2016
1/4/2017,11909004,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,1152,1920
1/4/2017,11909006,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54769,Paid,FNG00033,1152,1920
1/4/2017,11909008,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54769,Paid,FNG00033,1152,1920
1/4/2017,11909009,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54769,Paid,FNG00033,1152,1920
1/4/2017,11909010,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00033,1152,1920
1/4/2017,11909011,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54769,Paid,FNG00033,1152,1920
1/4/2017,11909014,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,1152,1920
1/4/2017,11909015,CUSTOMER 2,ESCOBEDO,NL,66066,DELIVERY,FNG00018,2016,2016
1/5/2017,11909030,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,864,1440
1/5/2017,11909031,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,864,1440
1/5/2017,11909032,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,864,1440
1/5/2017,11909033,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,864,1440
1/5/2017,11909036,CUSTOMER 1,CHALCO,MX,56640,Paid,FNG00033,1152,1920
1/5/2017,11909039,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54730,Paid,FNG00014,1596,1596
1/5/2017,11909039,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54730,Paid,FNG00015,420,420
1/5/2017,11909040,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54730,Paid,FNG00014,252,252
1/5/2017,11909040,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54730,Paid,FNG00015,84,84
1/5/2017,11909041,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54730,Paid,FNG00014,1680,1680
1/5/2017,11909042,CUSTOMER 1,VILLAHERMOSA,TB,86130,Paid,FNG00014,1596,1596
1/5/2017,11909042,CUSTOMER 1,VILLAHERMOSA,TB,86130,Paid,FNG00015,420,420
1/5/2017,11909044,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00033,1152,1920
1/5/2017,11909046,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54769,Paid,FNG00033,1152,1920
1/5/2017,11909049,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54769,Paid,FNG00033,1152,1920
1/6/2017,11909053,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54769,Paid,FNG00033,1152,1920
1/6/2017,11909055,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54769,Paid,FNG00033,1152,1920
1/6/2017,11909058,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54769,Paid,FNG00033,1152,1920
1/6/2017,11909060,CUSTOMER 1,CHALCO,MX,56640,Paid,FNG00033,1152,1920
1/6/2017,11909061,CUSTOMER 1,TLAJOMULCO DE ZUNIGA,JA,45679,Paid,FNG00033,1152,1920
1/6/2017,11909062,CUSTOMER 1,TLAJOMULCO DE ZUNIGA,JA,45679,Paid,FNG00033,1152,1920
1/6/2017,11909063,CUSTOMER 1,TLAJOMULCO DE ZUNIGA,JA,45679,Paid,FNG00033,1152,1920
1/6/2017,11909064,CUSTOMER 1,VILLAHERMOSA,TB,86130,Paid,FNG00014,2016,2016
1/6/2017,11909065,CUSTOMER 1,TLAJOMULCO DE ZUNIGA,JA,45679,Paid,FNG00033,1152,1920
1/6/2017,11909067,CUSTOMER 1,VILLAHERMOSA,TB,86130,Paid,FNG00014,924,924
1/6/2017,11909067,CUSTOMER 1,VILLAHERMOSA,TB,86130,Paid,FNG00015,1008,1008
1/6/2017,11909068,CUSTOMER 1,VILLAHERMOSA,TB,86280,Paid,FNG00015,84,84
1/6/2017,11909070,CUSTOMER 1,VILLAHERMOSA,TB,86130,Paid,FNG00033,864,1440
1/6/2017,11909071,CUSTOMER 1,VILLAHERMOSA,TB,86130,Paid,FNG00033,864,1440
1/6/2017,11909072,CUSTOMER 1,TLAJOMULCO DE ZUNIGA,JA,45670,Paid,FNG00015,336,336
1/6/2017,11909073,CUSTOMER 1,TLAJOMULCO DE ZUNIGA,JA,45679,Paid,FNG00014,1176,1176
1/6/2017,11909073,CUSTOMER 1,TLAJOMULCO DE ZUNIGA,JA,45679,Paid,FNG00015,504,504
1/6/2017,11909074,CUSTOMER 1,CHALCO,MX,56640,Paid,FNG00015,504,504
1/6/2017,11909075,CUSTOMER 1,CHALCO,MX,56640,Paid,FNG00014,756,756
1/6/2017,11909075,CUSTOMER 1,CHALCO,MX,56640,Paid,FNG00015,756,756
1/6/2017,11909076,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00014,1512,1512
1/6/2017,11909076,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00015,336,336
1/6/2017,11909077,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00015,168,168
1/6/2017,11909079,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00033,1152,1920
1/6/2017,11909080,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00033,1152,1920
1/7/2017,11909085,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,1152,1920
1/7/2017,11909086,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,1152,1920
1/7/2017,11909087,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,1152,1920
1/7/2017,11909088,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00015,168,168
1/7/2017,11909089,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00014,1428,1428
1/7/2017,11909089,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00015,420,420
1/7/2017,11909090,CUSTOMER 2,ESCOBEDO,NL,66066,DELIVERY,FNG00018,2016,2016
1/7/2017,11909091,CUSTOMER 1,CHALCO,MX,56640,Paid,FNG00033,1152,1920
1/8/2017,11909098,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54713,Paid,FNG00014,1260,1260
1/8/2017,11909098,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54713,Paid,FNG00015,336,336
1/8/2017,11909099,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54713,Paid,FNG00015,420,420
1/8/2017,11909100,CUSTOMER 3,VILLAHERMOSA,TB,86280,DELIVERY,FNG00013,2016,2016
1/8/2017,11909103,CUSTOMER 3,VILLAHERMOSA,TB,86280,DELIVERY,FNG00013,2016,2016
1/8/2017,11909105,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54730,Paid,FNG00014,252,252
1/8/2017,11909105,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54730,Paid,FNG00015,336,336
1/8/2017,11909106,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54730,Paid,FNG00014,924,924
1/8/2017,11909106,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54730,Paid,FNG00015,504,504
1/8/2017,11909107,CUSTOMER 1,VILLAHERMOSA,TB,86130,Paid,FNG00033,864,1440
1/8/2017,11909108,CUSTOMER 1,VILLAHERMOSA,TB,86130,Paid,FNG00033,864,1440
1/8/2017,11909109,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00033,1152,1920
1/8/2017,11909110,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00033,1152,1920
1/8/2017,11909112,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00033,1152,1920
1/8/2017,11909114,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00033,1152,1920
1/8/2017,11909115,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00033,1152,1920
1/8/2017,11909117,CUSTOMER 3,TEOLOYUCAN,MX,54770,DELIVERY,FNG00013,2016,2016
1/8/2017,11909118,CUSTOMER 1,CHALCO,MX,56640,Paid,FNG00014,2016,2016
1/8/2017,11909119,CUSTOMER 3,TEOLOYUCAN,MX,54770,DELIVERY,FNG00013,2016,2016
1/8/2017,11909120,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,864,1440
1/8/2017,11909121,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,864,1440
1/8/2017,11909122,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,864,1440
1/8/2017,11909123,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,864,1440
1/8/2017,11909124,CUSTOMER 3,TEOLOYUCAN,MX,54770,DELIVERY,FNG00013,2016,2016
1/9/2017,11909125,CUSTOMER 1,VILLAHERMOSA,TB,86130,Paid,FNG00033,864,1440
1/9/2017,11909126,CUSTOMER 1,VILLAHERMOSA,TB,86130,Paid,FNG00033,864,1440
1/9/2017,11909127,CUSTOMER 3,TEOLOYUCAN,MX,54770,DELIVERY,FNG00013,2016,2016
1/9/2017,11909128,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00033,1152,1920
1/9/2017,11909129,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00033,1152,1920
1/9/2017,11909130,CUSTOMER 1,VILLAHERMOSA,TB,86130,Paid,FNG00033,864,1440
1/9/2017,11909131,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00033,1152,1920
1/9/2017,11909132,CUSTOMER 1,VILLAHERMOSA,TB,86130,Paid,FNG00033,864,1440
1/9/2017,11909134,CUSTOMER 1,VILLAHERMOSA,TB,86130,Paid,FNG00033,1152,1920
1/9/2017,11909135,CUSTOMER 1,VILLAHERMOSA,TB,86130,Paid,FNG00033,1152,1920
1/9/2017,11909136,CUSTOMER 3,EL SALTO,JA,45690,DELIVERY,FNG00013,2016,2016
1/9/2017,11909137,CUSTOMER 2,ESCOBEDO,NL,66066,DELIVERY,FNG00018,2016,2016
1/9/2017,11909140,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,1152,1920
1/9/2017,11909141,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00033,1152,1920
1/9/2017,11909142,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00033,1152,1920
1/9/2017,11909145,CUSTOMER 1,CHALCO,MX,56640,Paid,FNG00033,1152,1920
1/9/2017,11909146,CUSTOMER 1,CHALCO,MX,56640,Paid,FNG00033,1152,1920
1/10/2017,11909148,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,1152,1920
1/10/2017,11909150,CUSTOMER 1,CHALCO,MX,56640,Paid,FNG00033,1152,1920
1/10/2017,11909151,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,864,1440
1/10/2017,11909152,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,864,1440
1/10/2017,11909156,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00014,2016,2016
1/10/2017,11909157,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00014,1680,1680
1/10/2017,11909157,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00015,336,336
1/10/2017,11909158,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,1152,1920
1/10/2017,11909162,CUSTOMER 1,CHALCO,MX,56640,Paid,FNG00033,1152,1920
1/10/2017,11909163,CUSTOMER 1,CHALCO,MX,56640,Paid,FNG00033,1152,1920
1/10/2017,11909164,CUSTOMER 1,TLAJOMULCO DE ZUNIGA,JA,45679,Paid,FNG00033,1152,1920
1/10/2017,11909165,CUSTOMER 1,TLAJOMULCO DE ZUNIGA,JA,45679,Paid,FNG00033,1152,1920
1/10/2017,11909166,CUSTOMER 1,CHALCO,MX,56640,Paid,FNG00033,1152,1920
1/10/2017,11909167,CUSTOMER 1,TLAJOMULCO DE ZUNIGA,JA,45679,Paid,FNG00033,1152,1920
1/10/2017,11909168,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54769,Paid,FNG00033,1152,1920
1/10/2017,11909169,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54769,Paid,FNG00033,1152,1920
1/10/2017,11909172,CUSTOMER 1,VILLAHERMOSA,TB,86130,Paid,FNG00033,1152,1920
1/10/2017,11909173,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00033,1152,1920
1/10/2017,11909174,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00033,1152,1920
1/10/2017,11909175,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00033,1152,1920
1/11/2017,11909176,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00033,1152,1920
1/11/2017,11909177,CUSTOMER 1,CUAUTITLAN IZCALLI,MX,54769,Paid,FNG00033,1152,1920
1/11/2017,11909179,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,864,1440
1/11/2017,11909180,CUSTOMER 1,CULIACAN,SI,80130,Paid,FNG00033,864,1440
1/11/2017,11909181,CUSTOMER 1,VILLAHERMOSA,TB,86130,Paid,FNG00033,864,1440
1/11/2017,11909182,CUSTOMER 1,VILLAHERMOSA,TB,86130,Paid,FNG00033,864,1440
1/11/2017,11909183,CUSTOMER 1,MONTERREY,NL,66550,Paid,FNG00033,1152,1920
