Item Number, 24 Equivalent ,Cases per Truck
FNG00009,0.63,1260
FNG00010,1.33,1200
FNG00011,1.67,960
FNG00012,1,1596
FNG00013,1,1596
FNG00014,1,1596
FNG00015,1,1596
FNG00017,1.33,1200
FNG00018,1,1596
FNG00019,1,3276
FNG00020,0.63,1260
FNG00021,0.63,840
FNG00022,0.63,840
FNG00023,2.67,1200
FNG00024,1,1596
FNG00027,1,3276
FNG00028,0.63,1260
FNG00029,0.63,840
FNG00030,0.63,840
FNG00031,0.75,1200
FNG00033,1.67,960
FNG00034,2.67,1200
FNG00035,1,1596
FNG00038,0.63,1260
FNG00039,0.63,840
FNG00042,2.67,1200
FNG00043,2.67,1200
FNG00045,1,3276
FNG00047,1,3276
FNG00025,1,1596
FNG00026,0.69,1080
FNG00032,0.69,1080
FNG00040,2.67,1200
FNG00041,1.67,960
FNG00048,1,1596
FNG00050,1,1596
FNG00051,0.75,1200
FNG00049,0.63,840
FNG00052,1,1596
FNG00053,1,3276
FNG00054,1,3276
FNG00055,1,1596
FNG00057,1,3276
FNG00065,0.63,1260
FNG00067,1,3276
FNG00068,1,1596
FNG00069,0.63,1260
FNG00062,4,3680
FNG00063,4,3680
FNG00072,4,3680
FNG00073,1,3864
FNG00074,0.63,1470
FNG00075,4,3680
FNG00076,1,1848
FNG00077,0.63,968
FNG00078,4,3680
FNG00079,0.25,3680
FNG00084,0.88,1050
FNG00085,1,1848
